0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0
1 G G G G G G G G G G G G G G G G G G G @ @ @ G G G G G G G G G G G G G G G G G G G
2 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
3 G G G G G G G G G G G G G G G G D G B G G C G G G G G G G G G G G G G G G G G G G
4 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
5 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
6 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
7 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
8 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
9 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
0 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G 
1 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
2 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
3 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
4 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
5 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
6 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G 
7 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
8 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
9 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
0 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
1 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
2 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
3 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
4 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
5 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
6 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
7 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
8 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
9 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
0 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G
1 G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G

















